Name,Cases,Deaths,Code,Latitude,Longitude,Population,Area,Demographic_Density,"Hospital beds (per 1,000 people)",Population ages 65 and above (% of total population),Urban population (% of total population),Deaths_per_mil
Afghanistan,14525,249,AFG,33.0,65.0,27657145.0,652230.0,42.40397559143247,0.5,2.58492693988024,25.495,Below
Albania,1122,33,ALB,41.0,20.0,2886026.0,28748.0,100.39049673020732,2.9,13.7447359109736,60.319,Below
Algeria,9267,646,DZA,28.0,3.0,40400000.0,2381741.0,16.962381719926725,1.9,6.36249654497986,72.629,Below
Angola,84,4,AGO,-12.5,18.5,25868000.0,1246700.0,20.7491778294698,0.8,2.21637364776329,65.514,Below
Antigua and Barbuda,25,3,ATG,17.05,-61.8,86295.0,442.0,195.23755656108597,3.8,8.79982551980558,24.599,Below
Argentina,16214,528,ARG,-34.0,-64.0,43590400.0,2780400.0,15.677744209466264,5.0,11.1177888760774,91.87,Below
Armenia,8927,127,ARM,40.0,45.0,2994400.0,29743.0,100.6757892613388,4.2,11.2538176570131,63.149,Below
Australia,7192,103,AUS,-27.0,133.0,24117360.0,7692024.0,3.135372432535312,3.8,15.6564752275591,86.012,Below
Austria,16685,668,AUT,47.33333333,13.33333333,8725931.0,83871.0,104.03990652311288,7.6,19.0015664595899,58.297,Below
Azerbaijan,5246,61,AZE,40.5,47.5,9730500.0,86600.0,112.36143187066975,4.7,6.19518275071493,55.68,Below
Bahamas,102,11,BHS,24.25,-76.0,378040.0,13943.0,27.113246790504196,2.9,7.25760235662035,83.025,Below
Bahrain,10793,17,BHR,26.0,50.55,1404900.0,765.0,1836.4705882352941,2.0,2.42633387832394,89.287,Below
Bangladesh,44608,610,BGD,24.0,90.0,161006790.0,147570.0,1091.053669445009,0.8,5.15839063962068,36.632,Below
Barbados,92,7,BRB,13.16666666,-59.53333333,285000.0,430.0,662.7906976744187,5.8,15.8026939621338,31.147,Below
Belarus,41658,229,BLR,53.0,28.0,9498700.0,207600.0,45.75481695568401,11.0,14.8451481743098,78.595,Below
Belgium,58186,9453,BEL,50.83333333,4.0,11319511.0,30528.0,370.79110980083857,6.2,18.7887437383395,98.001,Above
Benin,224,3,BEN,9.5,2.25,10653654.0,112622.0,94.5965619505958,0.5,3.25360529746338,47.312,Below
Bhutan,33,0,BTN,27.5,90.5,775620.0,38394.0,20.201593999062354,1.7,6.00301171280561,40.895,Below
Bosnia and Herzegovina,2494,153,BIH,44.0,18.0,3531159.0,51209.0,68.95582807709582,3.5,16.4703174710621,48.245,Below
Brazil,498440,28834,BRA,-10.0,-55.0,206135893.0,8515767.0,24.20638011819722,2.2,8.92283783244003,86.569,Above
Bulgaria,2499,139,BGR,43.0,25.0,7153784.0,110879.0,64.51883584808665,6.8,21.021914434268,75.008,Below
Burkina Faso,847,53,BFA,13.0,-2.0,19034397.0,272967.0,69.73149501588104,0.4,2.40698082866355,29.358,Below
Cabo Verde,421,4,CPV,16.0,-24.0,531239.0,4033.0,131.72303496156707,2.1,4.60932715666821,65.732,Below
Cambodia,125,0,KHM,13.0,105.0,15626444.0,181035.0,86.3172535697517,0.8,4.56868001756576,23.388,Below
Cameroon,5904,191,CMR,6.0,12.0,22709892.0,475442.0,47.765851565490635,1.3,2.72887735524057,56.374,Below
Canada,91681,7158,CAN,60.0,-95.0,36155487.0,9984670.0,3.6210998460640162,2.7,17.2320066788651,81.411,Above
Central African Republic,962,1,CAF,7.0,21.0,4998000.0,622984.0,8.022677949995506,1.0,2.82577370666008,41.364,Below
Chad,759,65,TCD,15.0,19.0,14497000.0,1284000.0,11.290498442367602,0.4,2.48051894434901,23.059,Below
Chile,94858,997,CHL,-30.0,-71.0,18191900.0,756102.0,24.060113582558966,2.2,11.5298016568816,87.564,Below
China,84128,4638,CHN,35.0,105.0,1377422166.0,9640011.0,142.88595376084115,4.2,10.9208835350654,59.152,Below
Colombia,26734,891,COL,4.0,-72.0,48759958.0,1141748.0,42.70640982073102,1.5,8.47804701986958,80.778,Below
Costa Rica,1047,10,CRI,10.0,-84.0,4890379.0,51100.0,95.70213307240705,1.2,9.54984767296984,79.34,Below
Croatia,2246,103,HRV,45.16666666,15.5,4190669.0,56594.0,74.04793794395165,5.6,20.445433012423,56.947,Below
Cuba,2025,83,CUB,21.5,-80.0,11239004.0,109884.0,102.28062320265006,5.2,15.1862114171521,77.037,Below
Cyprus,944,17,CYP,35.0,33.0,847000.0,9251.0,91.5576694411415,3.4,13.7190617734483,66.81,Below
Denmark,11833,571,DNK,56.0,10.0,5717014.0,43094.0,132.66380470599157,2.5,19.8129526369902,87.874,Below
Djibouti,3194,22,DJI,11.5,43.0,900000.0,23200.0,38.793103448275865,1.4,4.52757937811482,77.777,Below
Dominican Republic,16908,498,DOM,19.0,-70.66666666,10075045.0,48671.0,207.00304082513202,1.6,7.08281747649721,81.074,Below
Ecuador,38571,3334,ECU,-2.0,-77.5,16545799.0,276841.0,59.766432717697164,1.5,7.15728972666108,63.821,Above
Egypt,23449,913,EGY,27.0,30.0,91290000.0,1002450.0,91.066886128984,1.6,5.22977934620923,42.704,Below
El Salvador,2395,46,SLV,13.83333333,-88.91666666,6520675.0,21041.0,309.9032840644456,1.3,8.28709000480629,72.023,Below
Equatorial Guinea,1306,12,GNQ,2.0,10.0,1222442.0,28051.0,43.579266336315996,2.1,2.45787734677897,72.143,Below
Eritrea,39,0,ERI,15.0,39.0,5352000.0,117600.0,45.51020408163265,0.7,4.08385636215873,35.771,Below
Estonia,1865,67,EST,59.0,26.0,1315944.0,45227.0,29.096424702058506,5.0,19.6263568469749,68.88,Below
Ethiopia,1063,8,ETH,8.0,38.0,92206005.0,1104300.0,83.49724259712035,0.3,3.50113299760986,20.763,Below
Fiji,18,0,FJI,-18.0,175.0,867000.0,18272.0,47.44964973730298,2.3,5.44968041263952,56.248,Below
Finland,6826,316,FIN,64.0,26.0,5491817.0,338424.0,16.227622745431766,4.4,21.7207875455222,85.382,Below
France,188752,28774,FRA,46.0,2.0,66710000.0,640679.0,104.12390604343204,6.5,20.0346247469881,80.444,Above
Gabon,2655,17,GAB,-1.0,11.75,1802278.0,267668.0,6.733259112034311,6.3,3.56390746835592,89.37,Below
Gambia,25,1,GMB,13.46666666,-16.56666666,1882450.0,11295.0,166.6622399291722,1.1,2.58998093938232,61.27,Below
Georgia,757,12,GEO,42.0,43.5,3720400.0,69700.0,53.377331420373025,2.6,14.8654914310525,58.632,Below
Germany,183189,8530,DEU,51.0,9.0,81770900.0,357114.0,228.97702134332454,8.3,21.4619619953309,77.312,Above
Ghana,7768,35,GHA,8.0,-2.0,27670174.0,238533.0,116.00145053304993,0.9,3.06889800693396,56.06,Below
Greece,2915,175,GRC,39.0,22.0,10858018.0,131990.0,82.26394423819987,4.3,21.6552720778435,79.058,Below
Guatemala,4739,102,GTM,15.5,-90.25,16176133.0,108889.0,148.55617188145726,0.6,4.81207250828785,51.054,Below
Guinea,3706,23,GIN,11.0,-10.0,12947000.0,245857.0,52.660693004470076,0.3,2.92602244847935,36.14,Below
Guyana,152,12,GUY,5.0,-59.0,746900.0,214969.0,3.4744544562239206,1.6,6.45027124309697,26.606,Below
Haiti,1865,41,HTI,19.0,-72.41666666,11078033.0,27750.0,399.2083963963964,0.7,4.94940384843253,55.278,Below
Honduras,5094,201,HND,15.0,-86.5,8576532.0,112492.0,76.24126160082494,0.7,4.69061765907812,57.096,Below
Hungary,3867,524,HUN,47.0,20.0,9823000.0,93028.0,105.59186481489444,7.0,19.1577253832321,71.351,Below
Iceland,1806,10,ISL,65.0,-18.0,334300.0,103000.0,3.245631067961165,3.2,14.7950925565689,93.813,Below
India,181827,5185,IND,20.0,77.0,1295210000.0,3287590.0,393.96944266164576,0.7,6.17995564947149,34.03,Below
Indonesia,25773,1573,IDN,-5.0,120.0,258705000.0,1904569.0,135.83388157635665,1.2,5.85716561272863,55.325,Below
Iraq,6179,195,IRQ,33.0,44.0,37883543.0,438317.0,86.42955440925175,1.4,3.32359966279505,70.473,Below
Ireland,24929,1651,IRL,53.0,-8.0,6378000.0,70273.0,90.76032046447426,2.8,13.8658017012923,63.17,Above
Israel,17012,284,ISR,31.5,34.75,8527400.0,20770.0,410.5633124699085,3.1,11.9769860249625,92.418,Below
Italy,232664,33340,ITA,42.83333333,12.83333333,60665551.0,301336.0,201.32194958451694,3.4,22.7516796025077,70.438,Above
Jamaica,581,9,JAM,18.25,-77.5,2723246.0,10991.0,247.77053953234466,1.7,8.79664255070196,55.674,Below
Japan,16716,894,JPN,36.0,138.0,126960000.0,377930.0,335.9352261000714,13.4,27.576369910355,91.616,Below
Jordan,734,9,JOR,31.0,36.0,9531712.0,89342.0,106.6879183362808,1.4,3.84649039799834,90.979,Below
Kazakhstan,10382,38,KAZ,48.0,68.0,17753200.0,2724900.0,6.515174868802525,6.7,7.39184627103032,57.428,Below
Kenya,1888,63,KEN,1.0,38.0,47251000.0,580367.0,81.41572487753439,1.4,2.33918661191556,27.03,Below
Kuwait,26192,205,KWT,29.5,45.75,4183658.0,17818.0,234.79952856661802,2.0,2.55047238400198,100.0,Below
Kyrgyzstan,1722,16,KGZ,41.0,75.0,6047800.0,199951.0,30.246410370540783,4.5,4.49472797559656,36.351,Below
Latvia,1065,24,LVA,57.0,25.0,1961600.0,64559.0,30.384609427035734,5.8,20.0436203206809,68.142,Below
Lebanon,1191,26,LBN,33.83333333,35.83333333,5988000.0,10452.0,572.9047072330654,2.9,7.00236813439294,88.593,Below
Liberia,280,27,LBR,6.5,-9.5,4615000.0,111369.0,41.43882049762501,0.8,3.25343179968014,51.151,Below
Lithuania,1670,70,LTU,56.0,24.0,2872294.0,65300.0,43.986125574272585,7.3,19.7050331564608,67.679,Below
Luxembourg,4016,110,LUX,49.75,6.16666666,576200.0,2586.0,222.81515854601702,4.8,14.1831541841472,90.981,Above
Madagascar,758,6,MDG,-20.0,47.0,22434363.0,587041.0,38.21600705913215,0.2,2.98671712579162,37.191,Below
Malaysia,7762,115,MYS,2.5,112.5,31405416.0,330803.0,94.93691411504733,1.9,6.67175462547886,76.036,Below
Maldives,1672,5,MDV,3.25,73.0,344023.0,300.0,1146.7433333333333,4.3,3.70334460612454,39.808,Below
Malta,618,9,MLT,35.83333333,14.58333333,425384.0,316.0,1346.1518987341772,4.7,20.3493242997122,94.612,Below
Mauritania,483,20,MRT,20.0,-12.0,3718678.0,1030700.0,3.607915009217037,0.4,3.14111215805009,53.672,Below
Mauritius,335,10,MUS,-20.28333333,57.55,1262879.0,2040.0,619.0583333333333,3.4,11.4741730686522,40.793,Below
Mexico,87512,9779,MEX,23.0,-102.0,122273473.0,1964375.0,62.245484187082404,1.5,7.22368498087198,80.156,Below
Mongolia,179,0,MNG,46.0,105.0,3093100.0,1564110.0,1.9775463362551227,7.0,4.08353878726245,68.445,Below
Montenegro,324,9,MNE,42.5,19.3,621810.0,13812.0,45.01954821894005,4.0,14.9749366447439,66.813,Below
Morocco,7780,204,MAR,32.0,-5.0,33337529.0,446550.0,74.65575859366253,1.1,7.0129048211122,62.453,Below
Namibia,23,0,NAM,-22.0,17.0,2324388.0,825615.0,2.81534129103759,2.7,3.63603168074514,50.032,Below
Nepal,1401,6,NPL,28.0,84.0,28431500.0,147181.0,193.17371128066802,0.3,5.72767077569198,19.74,Below
Netherlands,46460,5970,NLD,52.5,5.75,17019800.0,41850.0,406.6857825567503,4.7,19.1961926333387,91.49,Above
New Zealand,1504,22,NZL,-41.0,174.0,4697854.0,270467.0,17.369416601655654,2.8,15.6524245271741,86.538,Below
Nicaragua,759,35,NIC,13.0,-85.0,6262703.0,130373.0,48.03680976889387,0.9,5.24749744838026,58.522,Below
Niger,956,64,NER,16.0,8.0,20715000.0,1267000.0,16.349644830307813,0.3,2.59500788269853,16.425,Below
Nigeria,9855,273,NGA,10.0,8.0,186988000.0,923768.0,202.41878913320227,0.5,2.74737700532743,50.344,Below
Norway,8437,236,NOR,62.0,10.0,5223256.0,323802.0,16.131018338367273,3.9,17.0492221563211,82.248,Below
Oman,10423,42,OMN,21.0,57.0,4420133.0,309500.0,14.281528271405493,1.6,2.39278695625796,84.539,Below
Pakistan,66457,1395,PAK,30.0,70.0,194125062.0,881912.0,220.1184041038108,0.6,4.31277431133756,36.666,Below
Panama,13018,330,PAN,9.0,-80.0,3814672.0,75417.0,50.58106262513757,2.3,8.10473107966757,67.709,Below
Paraguay,964,11,PRY,-23.0,-58.0,6854536.0,406752.0,16.851880261191095,1.3,6.43021500946081,61.585,Below
Peru,155671,4371,PER,-10.0,-76.0,31488700.0,1285216.0,24.500706496028684,1.6,8.08839279183076,77.907,Above
Philippines,17224,950,PHL,13.0,122.0,103279800.0,342353.0,301.67633991815467,1.0,5.12256876829946,46.907,Below
Poland,23571,1061,POL,52.0,20.0,38437239.0,312679.0,122.92875121130616,6.5,17.5178167625452,60.058,Below
Portugal,32203,1396,PRT,39.5,-8.0,10374822.0,92090.0,112.65959387555652,3.4,21.9538575375873,65.211,Above
Qatar,55262,36,QAT,25.5,51.25,2587564.0,11586.0,223.3354047988952,1.2,1.3700703387375,99.135,Below
Romania,19133,1259,ROU,46.0,25.0,19861408.0,238391.0,83.31442042694565,6.3,18.3387013938296,53.998,Below
Rwanda,359,1,RWA,-2.0,30.0,11553188.0,26338.0,438.65092262130764,1.6,2.9381960775388,17.211,Below
Saint Lucia,18,0,LCA,13.88333333,-60.96666666,186000.0,616.0,301.94805194805195,1.3,9.80653035642617,18.678,Below
Saint Vincent and the Grenadines,26,0,VCT,13.25,-61.2,109991.0,389.0,282.75321336760925,2.6,9.58978686338024,52.198,Below
Saudi Arabia,83384,480,SAU,25.0,45.0,32248200.0,2149690.0,15.001325772553251,2.7,3.31408802294981,83.844,Below
Senegal,3535,42,SEN,14.0,-14.0,14799859.0,196722.0,75.2323532700969,0.3,3.08682370101833,47.192,Below
Serbia,11381,242,SRB,44.0,21.0,7076372.0,88361.0,80.08478853792963,5.7,18.3457926916963,56.092,Below
Seychelles,11,0,SYC,-4.58333333,55.66666666,91400.0,452.0,202.21238938053096,3.6,7.59454560435034,56.691,Below
Singapore,34366,23,SGP,1.36666666,103.8,5535000.0,710.0,7795.774647887324,2.4,11.4633801933791,100.0,Below
Slovakia,1521,28,SVK,48.66666666,19.5,5426252.0,49037.0,110.65627995187307,5.8,15.629246504777,53.726,Below
Slovenia,1473,108,SVN,46.11666666,14.81666666,2064188.0,20273.0,101.81956296552065,4.6,19.6068796541788,54.541,Below
Somalia,1916,73,SOM,10.0,49.0,11079000.0,637657.0,17.374544621951927,0.9,2.87331094294556,44.971,Below
South Africa,30967,643,ZAF,-29.0,24.0,55653654.0,1221037.0,45.57900702435717,2.8,5.31800500542302,66.355,Below
Spain,239228,27125,ESP,40.0,-4.0,46438422.0,505992.0,91.77698856898924,3.0,19.3785075224995,80.321,Above
Sri Lanka,1620,10,LKA,7.0,81.0,20966000.0,65610.0,319.55494589239447,3.6,10.4732197537841,18.476,Below
Sudan,4800,262,SDN,15.0,30.0,39598700.0,1886068.0,20.995372383180246,0.8,3.58116052825144,34.642,Below
Suriname,14,1,SUR,4.0,-56.0,541638.0,163820.0,3.3062995971187887,3.1,6.90636990225525,66.06,Below
Sweden,37113,4395,SWE,62.0,15.0,9894888.0,450295.0,21.97423466838406,2.6,20.0955249278002,87.431,Above
Switzerland,30845,1919,CHE,47.0,8.0,8341600.0,41284.0,202.05406452863096,4.7,18.6232165647717,73.797,Above
Thailand,3077,57,THA,15.0,100.0,65327652.0,513120.0,127.31456969130028,2.1,11.9008931395893,49.949,Below
Togo,433,13,TGO,8.0,1.16666666,7143000.0,56785.0,125.79026151272343,0.7,2.86946801108822,41.702,Below
Trinidad and Tobago,117,8,TTO,11.0,-61.0,1349667.0,5130.0,263.09298245614036,3.0,10.7349535163324,53.184,Below
Tunisia,1076,48,TUN,34.0,9.0,11154400.0,163610.0,68.17676181162521,2.3,8.31567907898877,68.945,Below
Turkey,163103,4515,TUR,39.0,35.0,78741053.0,783562.0,100.49115832569727,2.7,8.4832129399716,75.143,Below
Uganda,413,0,UGA,1.0,32.0,33860700.0,241550.0,140.18091492444628,0.5,1.94098692046317,23.774,Below
Ukraine,23204,696,UKR,49.0,32.0,42692393.0,603700.0,70.71789464966042,8.8,16.4346864392016,69.352,Below
United Arab Emirates,33896,262,ARE,24.0,54.0,9856000.0,83600.0,117.89473684210526,1.2,1.08500098484481,86.522,Below
Uruguay,821,22,URY,-33.0,-56.0,3480222.0,181034.0,19.22413469293061,2.8,14.8145195308593,95.334,Below
United States of America,1770165,103776,USA,38.0,-97.0,323947000.0,9629091.0,33.64253178207579,2.9,15.8076540556035,82.256,Above
Uzbekistan,3546,14,UZB,41.0,64.0,31576400.0,447400.0,70.5775592311131,4.0,4.4191378781364,50.478,Below
Zambia,1057,7,ZMB,-15.0,30.0,15933883.0,752612.0,21.171444250158117,2.0,2.09967802593266,43.521,Below
Zimbabwe,174,4,ZWE,-20.0,30.0,14240168.0,390757.0,36.44251542518752,1.7,2.93952365300113,32.209,Below
Grenada,23,0,GRD,12.11666666,-61.66666666,103328.0,344.0,300.3720930232558,3.7,9.62190679562869,36.272,Below
Mozambique,244,0,MOZ,-18.25,35.0,26423700.0,801590.0,32.96410883369303,0.7,2.8907644574499,35.988,Below
Timor-Leste,24,4,TLS,-8.83333333,125.91666666,1167242.0,14874.0,78.47532607234099,5.9,4.31649229400603,30.578,Below
Belize,18,0,BLZ,17.25,-88.75,370300.0,22966.0,16.123835234694766,1.3,4.73645877657144,45.724,Below
Libya,130,0,LBY,25.0,17.0,6385000.0,1759540.0,3.6287893426691067,3.7,4.39204025898401,80.102,Below
Guinea-Bissau,1256,3,GNB,12.0,-15.0,1547777.0,36125.0,42.845038062283734,1.0,2.82371633615269,43.36,Below
Mali,1250,8,MLI,17.0,-4.0,18135000.0,1240192.0,14.62273583445144,0.1,2.50722975755683,42.356,Below
Botswana,35,6,BWA,-22.0,24.0,2141206.0,582000.0,3.6790481099656356,1.8,4.22387434629301,69.446,Below
Burundi,63,2,BDI,-3.5,30.0,10114505.0,27834.0,363.3866853488539,0.8,2.24694046033717,13.032,Below
Sierra Leone,852,2,SLE,8.5,-11.5,7075641.0,71740.0,98.62895177028157,0.4,2.96655621131612,42.055,Below
Malawi,279,1,MWI,-13.5,34.0,16832910.0,118484.0,142.06905573748355,1.3,2.64543493031032,16.937,Below
Sao Tome and Principe,479,0,STP,1.0,7.0,187356.0,964.0,194.35269709543567,2.9,2.9256781090661,72.803,Below
Yemen,310,4,YEM,15.0,48.0,27478000.0,527968.0,52.04482089823626,0.7,2.87626975604452,36.642,Below
Comoros,106,0,COM,-12.16666666,44.25,806153.0,1862.0,432.9500537056928,2.2,3.00700930649436,28.965,Below
